Lp.;Wytwórca;Model;Na indywidualne zamówienie;Kod;Nazwa;Kod środka;Nazwa środka;Cena
652;SZAJNA;CR;NIE;2291;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;100,00
653;SZAJNA;CR 1,6;NIE;2128;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;160,00
654;JZO;IZOPLAST 156;NIE;2175;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;190,00
655;RAKO;CR;NIE;2077;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;50,00
656;UNIVERCE OPTICAL;INDEX 1,56 HC;NIE;1704;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;79,00
657;JZO;NIE DOTYCZY;NIE;1430;SZKŁO OKULAROWE;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;50,00
658;JZO;IZOKRON 16;NIE;1698;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;90,00
659;JZO;IZOPLAST 150;NIE;2174;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;125,00
660;SZAJNA;CR 1,56;NIE;2124;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;69,00
661;JZO;IZOPLAST 160;NIE;2176;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;230,00
662;NEOLENS;NEODENS RX 1,6 ASF;NIE;1703;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;196,00
663;SZAJNA;NIE DOTYCZY;NIE;1558;SZKŁO OKULAROWE;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;169,00
664;SZAJNA;CR 1,5 A;NIE;2126;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;120,00
665;RAKO;CR/55;NIE;2294;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;100,00
666;SZAJNA;OPTIPLAST 1,56;NIE;1706;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;119,00
667;JZO;IZOKRON 16;NIE;2173;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;90,00
668;JZO;IZOPLAST 150 M;NIE;2289;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;100,00
669;SZAJNA;CR 1,359;NIE;2129;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;200,00
670;SZAJNA;NIE DOTYCZY;NIE;1523;SZKŁO OKULAROWE;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;520,00
671;SZAJNA;OPTIGLAS 1,52;NIE;1710;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;69,00
672;NEOLENS;NEODENS RX 1,5;NIE;1702;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;85,00
673;SZAJNA;NIE DOTYCZY;NIE;1519;SZKŁO OKULAROWE;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;98,00
674;SZAJNA;OPTIPLAST 1,5;NIE;1705;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;95,00
675;RAKO;CR 1,56 A;NIE;2296;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;100,00
676;SZAJNA;CR 1,67;NIE;2131;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;240,00
677;SZAJNA;CR 1,74;NIE;2134;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;500,00
678;RAKO;CR 1,67 A;NIE;2281;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;230,00
679;RAKO;CR 1,67;NIE;2084;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;180,00
680;SZAJNA;NIE DOTYCZY;NIE;1559;SZKŁO OKULAROWE;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;199,00
681;RAKO;CR 1,61;NIE;2083;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;140,00
682;SZAJNA;CR 1,56;NIE;2292;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;100,00
683;JZO;IZOKRON 16;NIE;2290;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;100,00
684;RAKO;CR 1,56;NIE;2080;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;89,00
685;SZAJNA;CR 1,7;NIE;2133;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;350,00
686;RAKO;CR 1,74;NIE;2087;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;350,00
687;RAKO;CR/55;NIE;2079;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;69,00
688;JZO;NEOLENS RX 1,5;NIE;2177;SOCZEWKA OKULAROWA;O.01.02.01.D1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR- DO DALI DZIECI                                                                                                                                                                                                ;85,00
